Testing Loan Amount Sweep (2L to 4L) at 2.2L Income:
Loan (INR)      | Prediction | Confidence      | DTI        | Disp. Inc.
---------------------------------------------------------------------------
INR 200000 | Y | 0.8779 | 0.025 | INR 164444
INR 220000 | Y | 0.8779 | 0.028 | INR 163889
INR 240000 | Y | 0.8779 | 0.030 | INR 163333
INR 260000 | Y | 0.8779 | 0.033 | INR 162778
INR 280000 | Y | 0.8779 | 0.035 | INR 162222
INR 300000 | Y | 0.8779 | 0.038 | INR 161667
INR 320000 | Y | 0.8739 | 0.040 | INR 161111
INR 340000 | Y | 0.8739 | 0.043 | INR 160556
INR 360000 | Y | 0.8739 | 0.045 | INR 160000
INR 380000 | Y | 0.8729 | 0.048 | INR 159444
INR 400000 | Y | 0.8729 | 0.051 | INR 158889
INR 420000 | Y | 0.8695 | 0.053 | INR 158333
INR 440000 | Y | 0.8671 | 0.056 | INR 157778
