Testing Monthly Income Sweep (100k to 500k):
Income (INR)    | Prediction | Confidence      | DTI        | Disp. Inc.
---------------------------------------------------------------------------
INR 100000 | Y | 0.6915 | 0.139 | INR 36111
INR 125000 | Y | 0.7213 | 0.111 | INR 61111
INR 150000 | Y | 0.7374 | 0.093 | INR 86111
INR 175000 | Y | 0.7370 | 0.079 | INR 111111
INR 200000 | Y | 0.6609 | 0.069 | INR 136111
INR 225000 | Y | 0.6729 | 0.062 | INR 161111
INR 250000 | Y | 0.6557 | 0.056 | INR 186111
INR 275000 | Y | 0.6549 | 0.051 | INR 211111
INR 300000 | Y | 0.6549 | 0.046 | INR 236111
INR 325000 | Y | 0.6549 | 0.043 | INR 261111
INR 350000 | Y | 0.6549 | 0.040 | INR 286111
INR 375000 | Y | 0.6549 | 0.037 | INR 311111
INR 400000 | Y | 0.6549 | 0.035 | INR 336111
INR 425000 | Y | 0.6549 | 0.033 | INR 361111
INR 450000 | Y | 0.6499 | 0.031 | INR 386111
INR 475000 | Y | 0.6458 | 0.029 | INR 411111
INR 500000 | Y | 0.6458 | 0.028 | INR 436111
INR 525000 | Y | 0.6458 | 0.026 | INR 461111
